scenario_code,trial,status_code,baseline_status_code,execution_path,ordinary_provider_runtime_reorganization_wired,e2e_summary_status,input_sha256,snapshot_sha256,ledger_sha256,pointer_before,pointer_after,ledger_record_count,retained_record_count,approximate_record_count,released_record_count,non_summary_released_record_count,required_record_count,failure_codes
UPD-08,3,COMMITTED,COMMITTED,opt_in_fenced_compaction_worker,False,BLOCKED,ccc5c264f36a60bcf55582116d61e81ae98db2178e5fc7b0e7eb057ccf29b3ed,89ca72142021970fa061212134072e774f40a3098c2fe520bdb8b8c3f1650744,1ed373f419723cf489d37037535468785fdb4f187355917f6501d0157148d204,1,2,8,6,0,2,0,4,
UPD-09,1,COMMITTED,COMMITTED,opt_in_fenced_compaction_worker,False,BLOCKED,e1dff11d52fe48791c1c968fd0fcc6a82c81dae298a4d5974309fdf603639d5c,a77dba55f145bb1e2f47064ec491806f4e879dcbf28d65467e6ad7340500187e,8c2cd029b5482981b19c803bc1ea7843d419260fe2758fa36909b120c15e9ce2,1,2,8,6,0,2,0,4,
UPD-09,2,COMMITTED,COMMITTED,opt_in_fenced_compaction_worker,False,BLOCKED,e1dff11d52fe48791c1c968fd0fcc6a82c81dae298a4d5974309fdf603639d5c,6befe5d831d45410c45ea42e414119b6e5061aac9214b11c56476660c2815eb6,dc0db85ac6c5ca924c6905c10c3c16a66de120bd7cfaf506b764d540388d1219,1,2,8,6,0,2,0,4,
UPD-09,3,COMMITTED,COMMITTED,opt_in_fenced_compaction_worker,False,BLOCKED,e1dff11d52fe48791c1c968fd0fcc6a82c81dae298a4d5974309fdf603639d5c,8ba580786f70d3d39cec50861e49ae81053e5e0bd0f494b0f923bfb65676b2c2,6bc35e27681c6b0fb7a4fed995456e51d96338ddda201ccaded97970b48ebd06,1,2,8,6,0,2,0,4,
UPD-10,1,COMMITTED,COMMITTED,opt_in_fenced_compaction_worker,False,BLOCKED,23fbda84baffc246bb729fdee0f15fc915342d51f37dedd67a62e1ff8765ede2,475109e67c2d7e9109ec43f460b402071659fe2a5f83149734583d588c9aa0b4,8bc279d771612b31b6701ee93da3943fadc39667dab938d79689b708cd23bafe,1,2,8,6,0,2,0,4,
UPD-10,2,COMMITTED,COMMITTED,opt_in_fenced_compaction_worker,False,BLOCKED,23fbda84baffc246bb729fdee0f15fc915342d51f37dedd67a62e1ff8765ede2,77365719edeba2f1f1aa18f796a9f91b75d152aa2d402e03a46b525b8ffce4da,e1cae9d69aaac99b34b3cd414a58db3138237857e6c9b3745278b5c75a8d6291,1,2,8,6,0,2,0,4,
UPD-10,3,COMMITTED,COMMITTED,opt_in_fenced_compaction_worker,False,BLOCKED,23fbda84baffc246bb729fdee0f15fc915342d51f37dedd67a62e1ff8765ede2,64804f6ddb81a93f28c7cf918c5f5e97542e37c1505a20240e74753198d69f66,e12c0861783bc817d6fe78b78f82644e126b258fbc208540ef4e5bf728e2b4ba,1,2,8,6,0,2,0,4,
UPD-11,1,COMMITTED,COMMITTED,opt_in_fenced_compaction_worker,False,BLOCKED,84f02c32a46339c7a969912286305b4a72739ec3f8c0dbac2e58462105a81a7b,400510e84f5b60fe778feb05da06d96f81ab386bfeef149c408cac1169342820,e3339e3cbcfe244e8c1922734d825e48d7edbe1c78e6c2c5dcdd09eb88932f31,1,2,8,6,0,2,0,4,
UPD-11,2,COMMITTED,COMMITTED,opt_in_fenced_compaction_worker,False,BLOCKED,84f02c32a46339c7a969912286305b4a72739ec3f8c0dbac2e58462105a81a7b,3150607a05d445b38d3df32294738ec4f8c19eb8ebbcb9c39c2558dec6e916cf,4ff06bbd023151e7914cc5e5457aea12438c018efd1ab73fefc77b6bcf2e4107,1,2,8,6,0,2,0,4,
UPD-11,3,COMMITTED,COMMITTED,opt_in_fenced_compaction_worker,False,BLOCKED,84f02c32a46339c7a969912286305b4a72739ec3f8c0dbac2e58462105a81a7b,8600ae1fb3379776401eb0982a13f345cf33e1bfa8f2faf9d33e8db728e979fd,59b02b2864e63aa77cc8da56674ec321dd52f0e802b4000a3f11c30b2ee14c96,1,2,8,6,0,2,0,4,
UPD-12,1,COMMITTED,COMMITTED,opt_in_fenced_compaction_worker,False,BLOCKED,f63a9afa811eea93e5cfe98238a494d80c60fe1fb477591086c2c109e03581e7,8a2fa735036ffbb5ebe95e89c2c8e7d4c953be5e8e395eb4b8901fbc5389dcba,b414fcbb2f7a5ff25e4b2d175e1e765a4dca75500e9324923cc633bc1a13aa6f,1,2,8,6,0,2,0,4,
UPD-12,2,COMMITTED,COMMITTED,opt_in_fenced_compaction_worker,False,BLOCKED,f63a9afa811eea93e5cfe98238a494d80c60fe1fb477591086c2c109e03581e7,934d5e37ecbfb1866c2f4c3349f141c0246856d23e1e7d1227ea78ea8b03a43e,4c2d854c439a4de430c0361126dec1ece8634b6799794c77962a28b129596f1c,1,2,8,6,0,2,0,4,
UPD-12,3,COMMITTED,COMMITTED,opt_in_fenced_compaction_worker,False,BLOCKED,f63a9afa811eea93e5cfe98238a494d80c60fe1fb477591086c2c109e03581e7,c9b48089b66cab23147199858bd5610c8c1daad30193c32ced6cf9795cdcbfa8,6bd739d79765cf4ef1d19cc16e53892826b3fc01ad872fd2eff65bf468d2fccc,1,2,8,6,0,2,0,4,
